GIN,5.5,0,0,0,0,0,0,108.31,23.62,17.5,0,39.81,0,0,0,38.61,15.39,0,0,193.21
SLE,0,0,0,0,0,0,0,3,0,4,0,24.99,0,0,0,18.65,24.14,0,0,3.9
LBR,0,0,0,0,0,0,0,7.8,0,0,0,17.35,0,0,0,16,3.96,0,0,0
MLI,0,0,0,0,0,0,0,7,0,0.96,0,27.33,0,0,0,21.58,20.28,0,0,0
CHN,65344.47,128.19,1067.61,2.3,20570.18,2,0,123144.37,46717.8,62846.87,39502.47,274843.38,8761.54,14060.69,437915.33,340812.74,439056.35,2434.96,1345.24,110295.78
PHL,   ,2493.65,60.37,20,1670.55,4,1,30756.65,0,8615.39,2943.15,23656.44,247.92,752.86,19053.33,63966.41,92730.39,0,3234.92,20045.13
IDN,0,664.93,67.62,2412.2,2370.22,4,4.1,278794.78,11290.94,8054.06,1877.98,47502.68,193.25,1404.59,32824.51,50664.61,30285.1,0,3948.96,98271.64
